;budget vegan curry [MASK] rice;vegan [MASK] soup;quick one pot [MASK] pasta;vegetarian [MASK] fried rice;asian [MASK] soup noodles;quick and easy [MASK] fried noodles;quick vegan [MASK] pasta;cheap dairy-free [MASK] soup;gluten-free [MASK] cheesecake;quick vegetarian [MASK] salad with mozzarella;vegetarian creamy [MASK] pasta;cheap vegetarian [MASK] pasta;gluten-free tomato [MASK] pasta
0;0;0;0;2;0;0;0;5;5;0;0;0;0
1;0;0;0;0;5;0;5;0;0;0;0;0;0
2;5;1;0;0;0;0;0;5;5;0;0;0;0
3;0;2;0;0;0;0;0;5;5;4;5;0;0
4;0;0;0;0;5;0;0;5;2;0;0;0;0
5;0;0;0;1;5;0;0;4;0;1;0;0;0
6;0;5;0;5;5;0;0;0;0;6;0;0;0
7;0;5;0;0;5;0;0;4;0;0;0;0;0
8;0;5;0;0;0;5;0;4;1;3;0;0;0
9;0;0;0;0;0;0;0;5;0;0;0;0;0
